bin_lo,bin_hi,n_total,acc_overall,n_cls_6,acc_cls_6_vegetation,n_cls_1,acc_cls_1_road,n_cls_4,acc_cls_4_building,n_cls_8,acc_cls_8_terrain,n_cls_2,acc_cls_2_sidewalk,n_cls_7,acc_cls_7_vehicle,n_cls_3,acc_cls_3_parking,n_cls_5,acc_cls_5_fence
0.0,0.03630859375,78857295,0.6833849550634472,23248873,0.7783871932200757,11697089,0.0030912819420284825,35530827,0.9763245870972832,2629683,0.07821855333893857,2460582,0.23680617024752681,1513580,0.17734047754330792,768936,0.002184837229626393,1007725,0.008945892976754572
0.03630859375,0.0726171875,59858935,0.40245341819061764,16457934,0.786049148088697,12094112,0.0033823897116216552,9841634,0.8994196492167865,11654167,0.07767041608379217,5461586,0.1886019921685752,1920879,0.15383634263272178,1562750,0.0054685650295952645,865873,0.025090284602938308
0.0726171875,0.10892578124999999,55599463,0.324390039522504,13444799,0.7628990213985348,10853152,0.0041524342421445865,5820530,0.7951483799585262,14750476,0.10529558503739134,5981075,0.205003782764804,2039292,0.13879719039745167,1778697,0.009119034889022696,931442,0.029057096416094615
0.10892578124999999,0.145234375,52335531,0.2950188658638048,11303802,0.7192235851264911,10315223,0.004301021897442256,4609492,0.6934193616129499,14589881,0.15644760913402928,6416884,0.22783846489978626,2152519,0.12739539116727888,1947514,0.010800435837688457,1000216,0.029504627000567878
0.145234375,0.18154296875,47945739,0.2813399121869829,9355098,0.6772438941847536,9800715,0.004849850240518166,3922530,0.6224444427448611,12982940,0.21679565645377705,6563274,0.2324531933300362,2231231,0.11976482936997558,2040675,0.012374826956766756,1049276,0.030023559101704414
0.18154296875,0.21785156249999998,36600852,0.2683995170385651,7060836,0.6357391674300323,8292881,0.0057024814416123904,3212853,0.5759650379273499,7036594,0.266289628192276,5854894,0.21371129861616622,2199638,0.11630777427922231,1930424,0.012900274758291443,1012732,0.0308600893424914
0.21785156249999998,0.25416015625,27393886,0.24621417348382044,5122743,0.595458526808782,6611777,0.007079942351352745,2591145,0.5470674161422846,3567920,0.2879049978699074,4832966,0.18978966539388029,2085727,0.11453943876643492,1672567,0.012051535155243407,909041,0.029169201389156265
0.25416015625,0.29046875,20671599,0.22273308417021828,3574245,0.5589076853992941,5155240,0.008175177101357066,2035484,0.5292240076561643,2088040,0.28766642401486564,3796973,0.16664116389555575,1911269,0.11269737540869443,1344757,0.012830570876373947,765591,0.02764400312960837
0.29046875,0.32677734375,15567344,0.20300836160619307,2450805,0.527729052290982,3992334,0.009473155302136545,1583730,0.5120626621962077,1268260,0.2790508255405043,2906564,0.15110419037736653,1712011,0.11355067227955895,1046521,0.014732623616726276,607119,0.025085691602470025
0.32677734375,0.3630859375,11378016,0.18900078888973262,1626562,0.5007150050228641,2961393,0.011313932328468394,1196989,0.49774475788833483,764696,0.26873685752246645,2106040,0.14703329471425045,1494266,0.11296783839021968,773715,0.015942562829982618,454355,0.022913800882569797
0.3630859375,0.39939453125,7907464,0.17851905490812225,1033568,0.4799152063531379,2083847,0.012841633766778464,849734,0.4839761619518579,432725,0.2592362354844301,1417282,0.14661231850824324,1237181,0.11419509352309808,542675,0.017841249366563783,310452,0.021471918364191565
0.39939453125,0.43570312499999997,5559004,0.16842639436848758,670039,0.4649087590423841,1480232,0.013823508747277453,602489,0.46936292612811187,246337,0.2456756394695072,927684,0.14286653644991182,1029701,0.11374369841342293,390488,0.018617729610128864,212034,0.019251629455653337
0.43570312499999997,0.47201171875,3711794,0.1598607034765399,415727,0.44624958205745596,986019,0.01489727885568128,390544,0.4627340325289852,132008,0.23478880067874675,563770,0.14278340457988187,818033,0.113379289099584,271667,0.021268685559895018,134026,0.018115887962037218
0.47201171875,0.5083203125,2429330,0.15434502517154935,258812,0.4374603959630929,641490,0.016226285678654383,242284,0.46382344686401084,69867,0.21589591652711582,328229,0.14382946052908183,621893,0.11328315321124373,183423,0.026218086063361738,83332,0.016764268228291652
0.5083203125,0.54462890625,1534106,0.15193213506758985,157069,0.4304477649950022,388866,0.01629867357907351,140874,0.4788960347544614,36887,0.19524493724076233,184076,0.14756948217040788,458168,0.11632196050357074,115265,0.027232898104368197,52901,0.016408007410067864
0.54462890625,0.5809375,939889,0.15432779828256316,96363,0.4292103815779916,221897,0.016845653614064184,78866,0.5186772500190197,19364,0.18023135715761207,100343,0.14484318786562092,325248,0.11777781877213696,65303,0.0342403871185091,32505,0.014766958929395477
0.5809375,0.61724609375,551970,0.1582422957769444,59291,0.4215816903071292,113987,0.017940642353952645,43647,0.5384104291245676,9844,0.16091019910605445,51373,0.14521246569209506,220783,0.11883614227544693,32763,0.03665720477367762,20282,0.01587614633665319
0.61724609375,0.6535546875,305925,0.16665849472910027,34632,0.4125375375375375,51578,0.02171468455543061,23418,0.5795114868904262,5724,0.1444793850454228,22926,0.1599930210241647,141025,0.11722035100159546,15143,0.054480618107376345,11479,0.013590033975084938
0.6535546875,0.68986328125,168682,0.17611244827545322,20005,0.40179955011247187,21554,0.02097058550617055,12893,0.6211897929108818,3152,0.13991116751269037,10199,0.1758015491714874,87833,0.12117313538191796,6133,0.04125224196967227,6913,0.011283089830753653
0.68986328125,0.726171875,192131,0.20980476862140934,28236,0.3920881144638051,13398,0.03127332437677265,17147,0.6953986120020995,3771,0.11614956245027844,6260,0.244888178913738,112011,0.13129960450312916,4012,0.027168494516450648,7296,0.01493969298245614
