bin_lo,bin_hi,n_total,acc_overall,n_cls_1,acc_cls_1_road,n_cls_4,acc_cls_4_building,n_cls_6,acc_cls_6_vegetation,n_cls_2,acc_cls_2_sidewalk,n_cls_8,acc_cls_8_terrain,n_cls_7,acc_cls_7_vehicle,n_cls_3,acc_cls_3_parking,n_cls_5,acc_cls_5_fence
0.0,0.009399414062500002,17093687,0.8617154391559878,1459583,4.110763142623613e-06,13657421,0.9985659078679643,1728332,0.5685412293471394,113496,0.926508423204342,10140,0.33727810650887574,9126,0.09314047775586237,18253,0.0,97336,0.0
0.009399414062500002,0.018798828125000003,13992391,0.782889643378319,1740595,0.00015626840247156862,9378766,0.9950590514786274,2477104,0.584794582706257,188667,0.8748482776532197,21521,0.22271269922401377,16268,0.2062330956478977,38503,0.0,130967,0.0
0.018798828125000003,0.028198242187500007,12335913,0.7556715907448439,1605144,0.0013923984390185554,7728229,0.9915804772348231,2524516,0.5806285244379517,211892,0.8417967643894059,59592,0.10142300979997315,21885,0.2870916152615947,49898,0.0,134757,0.0
0.028198242187500007,0.03759765625000001,11414478,0.7329112202940862,1498030,0.003582705286275976,6777715,0.9882525305357337,2530611,0.572732434973214,238788,0.8191198887716301,142897,0.056516231971280015,29073,0.3198500326763664,59951,0.0,137413,2.9109327356218117e-05
0.03759765625000001,0.04699707031250001,10907648,0.7081522982773188,1440307,0.005675873268685079,6130596,0.9844856845892308,2556344,0.5622212816428462,273388,0.8097209826327417,259088,0.03653198913110604,36308,0.3457364768095186,68828,0.0,142789,0.0
0.04699707031250001,0.056396484375000014,10552747,0.6818142233486693,1405186,0.007922794562428035,5609781,0.9812242224785602,2564607,0.5505689565691742,303754,0.7907550188639492,401027,0.028643956641323402,44602,0.3530559167750325,75186,2.660069693825978e-05,148604,2.0187881887432372e-05
0.056396484375000014,0.06579589843750001,10268575,0.6543965447980854,1405455,0.008953684038265188,5116833,0.9774639899328355,2573367,0.5491789550421685,334163,0.7773032921059483,550125,0.023547375596455353,55105,0.35697305144723707,83262,2.4020561600730225e-05,150265,2.6619638638405482e-05
0.06579589843750001,0.07519531250000001,10080118,0.6292241817010475,1405376,0.01060143335306708,4742246,0.9731452143140613,2566383,0.5440700004636876,363925,0.7622806897025486,690602,0.021320529045673196,65967,0.3692300695802447,89733,0.0,155886,0.0004811208190600824
0.07519531250000001,0.08459472656250001,10079676,0.6059808866872308,1432016,0.011590652618406498,4484436,0.9696918408468758,2589305,0.5397270696190677,399834,0.7499287204189738,836813,0.020266176553184523,77819,0.3641784140120022,96948,0.00014440731113586665,162505,0.0018091751023045445
0.08459472656250001,0.09399414062500001,10009116,0.5821514107739385,1455174,0.01264316157380492,4193877,0.9656511147084189,2597709,0.5350614714735177,431680,0.7315882134914752,970460,0.02097665024833584,88811,0.35759083897264976,103011,0.0006115851705157701,168394,0.004020333266030856
0.09399414062500001,0.10339355468750001,10076937,0.5608269655749559,1498634,0.014110850280989221,3992333,0.961149783848191,2628935,0.5315871255850754,468577,0.7168064160212729,1099812,0.020937214723971007,101229,0.3499491252506693,112545,0.0012172908614332045,174872,0.006090168809186148
0.10339355468750001,0.11279296875000003,10149796,0.541559258925007,1542198,0.015135540313241231,3812370,0.9564546463223664,2660486,0.5285150908518218,504725,0.6988577938481352,1212821,0.022097242709352823,113409,0.3490640072657373,120165,0.0020971164648608165,183622,0.008375902669614752
0.11279296875000003,0.12219238281250003,10287119,0.5240902725048675,1593662,0.01603853263740994,3670596,0.9516838682328428,2702585,0.5245296632668353,551425,0.6833150473772499,1321068,0.02335231797303394,128791,0.3398917626231647,128920,0.004723859757989451,190072,0.01554674018266762
0.12219238281250003,0.13159179687500003,10351897,0.5065058124129326,1636849,0.016004530656157045,3505327,0.9459802181080396,2725189,0.5199998972548326,594579,0.6650974891477835,1414230,0.02455753307453526,143186,0.34346933359406645,137435,0.004991450503874559,195102,0.02040983690582362
0.13159179687500003,0.14099121093750003,10431217,0.4908402346533487,1677058,0.016768054533593948,3364893,0.93990388401652,2744170,0.5161618995907687,637746,0.6470836351776412,1496018,0.026003029375315,159901,0.34606412717869184,146735,0.004818209697754455,204696,0.025447492867471763
0.14099121093750003,0.15039062500000003,10621397,0.4770233143530931,1740169,0.017916650624163515,3273630,0.9343450542669758,2787284,0.5123518091446727,691057,0.6316772711947061,1583712,0.02805371178598129,178185,0.34080871004854507,158604,0.007194017805351694,208756,0.02818601621031252
0.15039062500000003,0.15979003906250003,10869152,0.4637267010342665,1813409,0.017889510860484313,3199664,0.9283340375739453,2848682,0.509793300901961,750503,0.6121108110160786,1666109,0.030216510444394693,198745,0.33744748295554605,170504,0.0066860601510814995,221536,0.03312328470316337
0.15979003906250003,0.16918945312500003,11042714,0.45218865579602985,1869360,0.01890219112423503,3117715,0.9216272173691309,2885319,0.5062081523741395,809620,0.5972542674341049,1729209,0.03288266484849431,218776,0.33520130178813035,182843,0.008165475298480118,229872,0.038608442959560105
0.16918945312500003,0.17858886718750003,11395305,0.4397667284903739,1973393,0.019423905932574,3079660,0.9148422228427814,2952268,0.5017579704823546,887854,0.5803397855953795,1820920,0.036033433648924716,241550,0.332792382529497,197417,0.011083138736785585,242243,0.04447187328426415
0.17858886718750003,0.18798828125000003,11578971,0.4283565439450535,2036103,0.02022933024508092,2999566,0.9063194475467451,2986048,0.4968259050088947,959804,0.563707798675563,1870766,0.03888674478796386,262638,0.3317989019106146,212075,0.014589178356713427,251971,0.04998194236638343
0.18798828125000003,0.19738769531250003,11976242,0.41796525153716835,2147849,0.02059176413239478,2972690,0.8980468868264098,3062948,0.4932532318537566,1056347,0.5494984129268129,1952534,0.04368886790191618,289727,0.33250266630310604,230209,0.017458048990265367,263938,0.05638445392478537
0.19738769531250003,0.20678710937500003,12228521,0.40830816743905496,2237769,0.021280570067777328,2917872,0.8905774482225403,3096059,0.48861665749909805,1143990,0.5337284416821826,2002910,0.04895527008203065,313863,0.3304817707088762,242508,0.020766325234631434,273550,0.060727472125753974
0.20678710937500003,0.21618652343750003,12796519,0.3981971972221508,2397105,0.021686158929208357,2916187,0.8810600966261766,3199118,0.48587954554974216,1279541,0.5205554179193945,2101099,0.055226336312567854,343371,0.3266000914462782,268181,0.02447600687595318,291917,0.065138378374675
0.21618652343750003,0.22558593750000006,13023890,0.38849091937969377,2476034,0.02184622666732363,2844456,0.8713725928613415,3214259,0.47963714187313466,1383681,0.5098530658439336,2146644,0.06108185614382264,369239,0.3241911065732493,286790,0.028735311552006693,302787,0.06860268109264929
0.22558593750000006,0.23498535156250006,13277859,0.37957143542494315,2579080,0.022129596600338104,2775115,0.8620633739502688,3218679,0.475443807847878,1507531,0.49795659260074915,2186218,0.06887922430425511,395611,0.32021607083726183,305584,0.03292057175768365,310041,0.07155505239629598
0.23498535156250006,0.24438476562500006,14399537,0.3705980963137912,2850327,0.022358136452414055,2869594,0.8515309134323531,3436823,0.4705444534094424,1739091,0.48928894462681943,2368421,0.0759894461330988,447746,0.3212736685531529,348984,0.034697865804736036,338551,0.07424583002265538
