bin_lo,bin_hi,n_total,acc_overall,n_cls_2,acc_cls_2_building,n_cls_25,acc_cls_25_vegetation,n_cls_18,acc_cls_18_sidewalk,n_cls_16,acc_cls_16_road,n_cls_29,acc_cls_29_terrain,n_cls_14,acc_cls_14_pedestrian,n_cls_28,acc_cls_28_vehicle-static,n_cls_19,acc_cls_19_stairs,n_cls_20,acc_cls_20_structure-other,n_cls_11,acc_cls_11_noise,n_cls_24,acc_cls_24_treetrunk
0.0,0.02870849609375,129428386,0.8336281038071509,58407156,0.998093487037787,28521748,0.9569747618554094,11425813,0.7082831654955319,13954368,0.05925642780812431,10413447,0.9585873918597752,1231409,0.8057282348919003,1095367,0.7020313739595953,1040971,0.7748726909779428,867923,0.016848268798038534,429478,6.752383125561729e-05,626014,0.5851163073030315
0.02870849609375,0.0574169921875,30286905,0.654965405015798,6213442,0.978795810759962,5540095,0.8572170693823843,5179370,0.6218086369577768,4367539,0.11374483433347704,2889779,0.7976426571028442,1579367,0.8535799469027782,1001205,0.6472260925584671,740017,0.5256608969793937,726224,0.02708117605587257,258098,0.033646134414059774,630763,0.7001742334284033
0.0574169921875,0.08612548828125,21311705,0.5838087567372015,3488478,0.9411084146151989,3449778,0.7967112666380272,4180577,0.5586336527230571,2902171,0.14202023243978387,2103308,0.6895328691756034,1309918,0.7781433646991643,782809,0.5848105987539745,683055,0.34986348097883774,570184,0.0427195431650134,211416,0.13442218185946192,506686,0.6386795767003628
0.08612548828125,0.114833984375,17433995,0.5263618006085238,2469017,0.8895495656773525,2624515,0.7621968249371789,3388036,0.5292975045129391,2289931,0.13894829145507004,1912582,0.6017420429555439,1188590,0.647978697448237,753827,0.4517455596575872,575838,0.3191904667632216,510076,0.05015331048706467,207431,0.1502330895574914,412435,0.5693236509995514
0.114833984375,0.14354248046875,15027327,0.4793330177748844,1835330,0.8342270872268203,2131757,0.7126745684428385,2898926,0.49627482729810973,1896789,0.12000649518739301,2002842,0.5328927593889083,1036944,0.6564153898378312,699424,0.36561942398316327,515431,0.2696830419590595,478708,0.04558937807598787,168329,0.20169430104141295,325186,0.5057474799038089
0.14354248046875,0.1722509765625,12417991,0.42622345273080003,1240113,0.7702967390874864,1678646,0.6727696012143121,2257888,0.46829249280743773,1535387,0.11416014333845473,1930328,0.486193538093008,937800,0.5289731285988484,604325,0.3238439581351094,499818,0.19154572264304207,434966,0.03607178492112027,140542,0.2590969247627044,221568,0.46103227902946275
0.1722509765625,0.20095947265625,9157308,0.38308179652797525,780475,0.7187430731285435,1189272,0.6397409507665194,1522342,0.4636566553376311,1056834,0.12124420675337849,1331580,0.4123312155484462,978511,0.450899376706036,454392,0.32558451733305166,457198,0.14104829854898754,382206,0.028892796031459476,133563,0.1471590185904779,125951,0.4228549197703869
0.20095947265625,0.22966796875,6733232,0.3492097108788172,511613,0.7051560456829674,829337,0.6053172594494156,1038329,0.4313998742209839,778286,0.11072407829512544,863361,0.3280562823662408,837554,0.4792443233510914,382717,0.2860729991090022,342521,0.13316555773222663,318763,0.022860244131219745,88807,0.37856250070377334,74026,0.3811093399616351
0.22966796875,0.25837646484375,5024110,0.33336929326786235,394893,0.7044287946355089,597882,0.60566633549764,687663,0.4102838163460881,575974,0.10332931694833447,518226,0.2947574996237163,801063,0.42257849881969334,312154,0.264148465180648,251514,0.13199265249648132,269730,0.02055017980943907,90858,0.36794778665610073,44623,0.3312193263563633
0.25837646484375,0.2870849609375,4012901,0.2864531170841244,327440,0.6370144148546298,426320,0.5287553950084444,488720,0.353320919954166,425981,0.08827858519511433,386331,0.20344471450647242,759973,0.3792792638685848,276694,0.21750742697709383,176419,0.13660093300608211,218682,0.01808562204479564,102388,0.2088232996054225,25098,0.3029325045820384
0.2870849609375,0.31579345703125,3595082,0.2711270563508704,278952,0.6084702744558204,394174,0.5569494690162212,355323,0.3201340751935563,419073,0.06139264519546714,287933,0.15669270281628017,922411,0.2924997642048935,190037,0.24445239611233602,150144,0.12748428175618073,178423,0.017301581074188867,101383,0.42283223025556554,14808,0.2847784981091302
0.31579345703125,0.344501953125,3311937,0.2286136481460849,220488,0.6235486738507311,341596,0.5069350929167789,277064,0.26073037276585914,418998,0.04069709163289562,248987,0.10945149746773927,1040389,0.23417394839814723,159082,0.21465030613142908,121958,0.13202905918430935,140287,0.01807009915387741,112928,0.18155816095211108,8865,0.2617033276931754
0.344501953125,0.37321044921875,3292721,0.16481050170968023,196536,0.5612966581186144,232093,0.6580810278638305,345269,0.1278162823769293,446795,0.026121599391219687,238468,0.07024422564033748,1145657,0.12947854375262405,121926,0.20488657054278825,106715,0.12467788033547299,113765,0.01739550828462181,158024,0.0621930845947451,5119,0.24789998046493456
0.37321044921875,0.4019189453125,3323011,0.1387882856842785,186721,0.502937537823812,173030,0.49544587643761195,359943,0.07588423722644974,575622,0.013119720927970091,173351,0.06332816078361243,1190144,0.1495592130027963,115129,0.15911716422447864,108100,0.10806660499537465,81270,0.021336286452565523,120854,0.16290730964635014,3281,0.24779030783297776
0.4019189453125,0.43062744140625003,2798031,0.1310132017836829,151972,0.5082975811333666,129896,0.4235388310648519,210591,0.08194082368192374,418600,0.011705685618729096,137102,0.04759959738005281,1119492,0.15719987279944833,92196,0.14534253112933315,114605,0.08653200122158719,66892,0.02033128027267835,154011,0.004149054288330054,1968,0.23323170731707318
0.43062744140625003,0.4593359375,2120164,0.12431491148797923,113658,0.5678526808495662,142864,0.4430157352447083,165510,0.06844299438100417,364595,0.008135053963987438,103124,0.04351072495248439,804714,0.10352746441592914,79359,0.11692435640570067,60511,0.13716514352762307,44757,0.02310253144759479,104052,0.11423134586552877,1330,0.2714285714285714
0.4593359375,0.48804443359375,1947363,0.11537602388460703,105866,0.5179566621956058,124363,0.3659287730273474,132494,0.05910456322550455,295696,0.006060278123478167,132496,0.024604516362758122,783683,0.10514455462221332,47613,0.13004851616155252,49835,0.14339319755192134,31184,0.02639173935351462,122166,0.10364585891328193,928,0.2984913793103448
0.48804443359375,0.5167529296875,1316110,0.1568607487216114,81031,0.5559970875344005,94592,0.33768183355886333,101166,0.04749619437360378,213595,0.0049860717713429625,59551,0.03224127218686504,512454,0.2018971458901677,52532,0.07694357724815351,28437,0.20951577170587615,25714,0.02578361981799798,63190,0.0945244500712138,735,0.28435374149659864
0.5167529296875,0.54546142578125,1070264,0.1283552469297295,73698,0.5205840049933512,69915,0.3010369734677823,73014,0.044772235461692275,139384,0.004491189806577513,67960,0.021748087110064745,426811,0.13445764050129916,43436,0.062459710838935444,35260,0.13201928530913215,19384,0.02661989269500619,55720,0.11031945441493181,488,0.2848360655737705
0.54546142578125,0.574169921875,5378209,0.1325340833723643,396491,0.6194163297527561,268608,0.4593534071956159,349851,0.013434290597997433,1229459,0.0007670040237210025,174254,0.016234921436523695,1933308,0.14160288996890305,245213,0.024762145563245016,97317,0.1233289147836452,32388,0.04637520069161418,396643,0.09930340381653023,1095,0.3789954337899543
