bin_lo,bin_hi,n_total,acc_overall,n_cls_6,acc_cls_6_vegetation,n_cls_1,acc_cls_1_road,n_cls_4,acc_cls_4_building,n_cls_2,acc_cls_2_sidewalk,n_cls_7,acc_cls_7_vehicle,n_cls_8,acc_cls_8_terrain,n_cls_3,acc_cls_3_parking,n_cls_5,acc_cls_5_fence
0.0,0.009200683593750002,94890558,0.733227472431978,19284632,0.8333514997849064,20393222,5.393949028750827e-07,51806038,0.9945179749124996,2042101,0.9420097242986513,186202,0.0014876317117968657,152251,0.38415511228169275,803632,0.0012393732454655862,222480,0.0
0.009200683593750002,0.018401367187500003,48180790,0.65445278086972,13287996,0.8320737754586922,12755144,1.77183417137431e-05,18728264,0.9812556572248234,2150391,0.9276615276012595,157311,0.010221789957472777,290251,0.3395922839197798,653597,0.004602224306415115,157836,0.0
0.018401367187500003,0.027602050781250005,35814280,0.6525954172469752,10516125,0.8190062404165033,8878836,7.92896726552895e-05,13207991,0.9742476353898182,1935786,0.9110800470713188,150353,0.022560241564850717,455275,0.2620899456372522,521855,0.008680572189592894,148059,2.701625703266941e-05
0.027602050781250005,0.03680273437500001,29610203,0.6479405426568673,8990975,0.8089974669043124,6987253,0.00013481693020132518,10473025,0.9684736740340064,1814537,0.8951374372636105,151081,0.03639769395225078,595694,0.22236584555157513,454659,0.013113124341539483,142979,6.99403408892215e-06
0.03680273437500001,0.04600341796875001,25936077,0.6419874524585966,8058904,0.8008102590625227,5903226,0.00016651912022341682,8818764,0.963476287606744,1745473,0.8829308731787888,159044,0.04843942556776741,698319,0.20546483770311277,409765,0.01705123668444108,142582,0.0001893647164438709
0.04600341796875001,0.05520410156250001,23009659,0.6350328355583192,7275642,0.7911396684993571,5089033,0.0002507352575626843,7538344,0.9590449838850549,1670349,0.8713592189416702,167133,0.06172928147044569,751714,0.20099133447029055,377549,0.021295249093495148,139895,0.00024303942242396082
0.05520410156250001,0.06440478515625,21078768,0.629010955478992,6754665,0.7838610797130575,4549340,0.0003804947530850629,6688675,0.9540596605456237,1631931,0.8598764285990033,173595,0.07182810564820416,790086,0.1985113013013773,353806,0.0234393989926683,136670,0.0005048657349820736
0.06440478515625,0.07360546875000001,19514882,0.6230498857231113,6329053,0.7768719901697774,4122179,0.00042550311376580204,6004776,0.9501242011358958,1593325,0.8475257715783032,181470,0.07700446354769383,811823,0.1984151717800555,336288,0.02752105338281473,135968,0.0011252647681807483
0.07360546875000001,0.08280615234375002,18339772,0.6158076556240721,5981275,0.7698231564340379,3817120,0.0004878023221695938,5469826,0.9458492829570813,1580881,0.8354784452466694,190580,0.0875275474866198,839854,0.19898339473289406,321615,0.027744352719866923,138621,0.0017457672358444968
0.08280615234375002,0.09200683593750002,17430197,0.6096838148186162,5710591,0.7639689132000523,3573673,0.0005020045202792757,5062630,0.9413468888700142,1571139,0.8254896606856554,198480,0.09090084643288997,859915,0.19936389061709586,314434,0.031446980924454734,139335,0.00276312484300427
0.09200683593750002,0.10120751953125001,16518537,0.6026335140938934,5443703,0.7581387155030317,3346720,0.0005560668355882775,4646351,0.9373370629984691,1553697,0.8127434113601301,207035,0.0998526819136861,876816,0.2021404718891991,304897,0.030787446252340953,139318,0.0030649305904477528
0.10120751953125001,0.11040820312500002,15944572,0.5957598610988115,5278097,0.7507067414638269,3188195,0.0006031626045458323,4361277,0.9331613194942674,1561458,0.801525881579908,218040,0.10109612915061457,897319,0.20138546046612185,297992,0.03441031974012725,142194,0.004092999704628887
0.11040820312500002,0.11960888671875003,15352017,0.5896691620390988,5090227,0.7453750097981878,3035989,0.0006982897500616768,4094504,0.929984193445653,1556486,0.7911333606598453,228923,0.1052886778523783,904922,0.2012118171510915,296242,0.03470811026120536,144724,0.004733147231972583
0.11960888671875003,0.1288095703125,14655289,0.5821819685712101,4874362,0.7400268999306986,2886498,0.000866794295371069,3783895,0.9256924412543159,1537338,0.7791416071156766,236464,0.10965728398403139,907622,0.2036706911026837,287124,0.03585907134199858,141986,0.005458284619610384
0.1288095703125,0.13801025390625002,14328692,0.5748820618099684,4771962,0.7327158095559018,2796299,0.0008761580932511151,3594701,0.9209823014487157,1559651,0.7675941604884683,245586,0.1087032648440872,930810,0.20654591162535857,285132,0.037109128403686714,144551,0.006911055613589667
0.13801025390625002,0.14721093750000003,13963448,0.5680006113103296,4657214,0.7271740143356092,2712787,0.0008537345541688308,3400676,0.9169694496035494,1569597,0.757117272777662,256260,0.11402481854366658,939198,0.2067434129970464,282149,0.03924522149644337,145567,0.008071884424354421
