bin_lo,bin_hi,n_total,acc_overall,n_cls_6,acc_cls_6_vegetation,n_cls_1,acc_cls_1_road,n_cls_4,acc_cls_4_building,n_cls_2,acc_cls_2_sidewalk,n_cls_7,acc_cls_7_vehicle,n_cls_8,acc_cls_8_terrain,n_cls_3,acc_cls_3_parking,n_cls_5,acc_cls_5_fence
0.0,0.008513183593750001,61831531,0.8356033914152958,12568243,0.7375450172311276,6354395,5.303415982166674e-05,42387117,0.9971038841825454,221392,0.5759241526342416,45933,0.08549408921690288,29363,0.029424786295678233,41746,0.0,183342,0.0
0.008513183593750001,0.017026367187500002,37456841,0.7405758803845738,10047658,0.6746832943557594,5659164,0.00020815795407236827,20918844,0.9904236582097941,420602,0.51578214083623,80983,0.2297519232431498,83111,0.06503350940308744,88237,0.0,158242,0.0
0.017026367187500002,0.025539550781250003,29813873,0.7020617214006379,8700715,0.6393667646854311,4814872,0.00041558737179306116,15268877,0.9856093542439304,515822,0.5178995855159337,102177,0.35846619102146277,149482,0.08904751073707871,106744,0.0,155184,0.0
0.025539550781250003,0.034052734375000004,25113859,0.6733156381900528,7738858,0.6176046905111839,4217998,0.0006251781058217666,11983640,0.9813349700091124,570427,0.5137870402347715,119652,0.43612309029518936,213762,0.10355442033663607,114610,0.0,154912,0.0
0.034052734375000004,0.042565917968750006,22858582,0.6495052055284969,7340555,0.6064168172570058,3967026,0.000660948529200464,10205247,0.9774726667566204,630833,0.5067109678789791,138427,0.4750012642042376,287979,0.11095253473343543,127453,3.9230147583815214e-05,161062,0.0
0.042565917968750006,0.05107910156250001,20842913,0.629969476915247,6955077,0.5982943107603266,3673958,0.0007049617878048688,8748965,0.9736119643866445,662691,0.4993217049876941,151923,0.49930556926864267,350160,0.11925976696367376,135527,7.378603525496765e-05,164612,4.252423881612519e-05
0.05107910156250001,0.05959228515625001,19636093,0.6125654935531218,6767505,0.5937903259768555,3514876,0.000827625213521046,7754032,0.9700192106506653,704892,0.49294218121357597,165678,0.5189162109634351,415151,0.12515205310838706,143820,0.00026421916284244195,170139,3.526528309206002e-05
0.05959228515625001,0.06810546875000001,18409143,0.5977675875514683,6503892,0.5907364390429607,3328735,0.0009282805630367091,6880508,0.9664010273660026,729294,0.4879486188011968,175201,0.5309844121894282,466022,0.13068696327641185,149589,0.0005281136981997339,175902,7.958977157735557e-05
0.06810546875000001,0.07661865234375001,18016462,0.5839503338668824,6516763,0.5888945171091844,3289710,0.0011654522739086425,6367529,0.9627390782201385,780931,0.48077230894919015,191522,0.536319587305897,526628,0.13397122826739177,161289,0.0012896105748067134,182090,1.0983579548574881e-05
0.07661865234375001,0.08513183593750001,17156741,0.571405664980313,6340295,0.5871203153796472,3145972,0.00126161326292796,5746553,0.9586978489539729,805023,0.4717480121685964,199449,0.5437530396241645,569229,0.13904948623488964,164389,0.0022933407953086887,185831,0.00010224343624045503
0.08513183593750001,0.09364501953125001,16588433,0.560124395113149,6235518,0.5854843174215839,3048080,0.0014215506154694102,5284446,0.9548601688805222,834458,0.4647208127910572,210696,0.5464745415195352,616271,0.14127226496135628,171168,0.003119742007851935,187796,0.00011714839506698758
0.09364501953125001,0.10215820312500001,16275031,0.5487546536777718,6196854,0.5832277152245317,3001118,0.0016293927796241267,4933265,0.950758169285453,874557,0.4602650256072503,221597,0.5455082875670699,673130,0.1449407989541396,181245,0.003315953543546029,193265,7.243939668331048e-05
0.10215820312500001,0.11067138671875001,15800309,0.5376612571311106,6079861,0.5795423612480615,2915361,0.001805608293449765,4572773,0.9456028103734867,904066,0.45047264248406643,232397,0.5455406050852636,716403,0.1500091428986199,185619,0.004670858047936903,193829,6.706942717550006e-05
0.11067138671875001,0.11918457031250002,15637918,0.5275964485809428,6062850,0.5767909481514469,2891914,0.0019174152481712804,4326819,0.941045604172488,946455,0.4464734192328214,246971,0.5454041162727608,769663,0.15302021793953977,195244,0.005925918338079531,198002,0.00018686679932525935
0.11918457031250002,0.12769775390625002,15435301,0.5177124177882894,6028708,0.5743335056201097,2851691,0.0020763119145798055,4082486,0.9359703866712586,982513,0.43788835364010453,259874,0.541658649961135,824212,0.15645367939316585,205151,0.00746279569682819,200666,0.0003737553945361945
0.12769775390625002,0.13621093750000002,14808674,0.5077518756912334,5797039,0.5702759632978146,2749632,0.0021202837325140235,3755503,0.9308036766313328,991859,0.43263004116512527,268188,0.5416610735752532,844895,0.16026843572278213,204864,0.009230513901905655,196694,0.0003965550550601442
0.13621093750000002,0.14472412109375002,15146779,0.4982172117253444,5953058,0.5664040229408146,2796813,0.002402377277279532,3677689,0.9257808368244297,1065172,0.42570683420142474,292695,0.530818770392388,935654,0.16212189548700695,219431,0.011238156869357566,206267,0.0005914664003451837
0.14472412109375002,0.15323730468750002,15016963,0.4891269293265223,5904540,0.5630828142412448,2767018,0.0025120906333099386,3500985,0.9180553472808367,1107749,0.4226471881265521,306336,0.5303882011908493,990658,0.16727367063103513,228392,0.01240849066517216,211285,0.0009371228435525476
